Run,PC1,PC2,PC3,country,locality
SRR12425475,48.9673658218169,-50.0235792360119,-21.8942038701206,USA,"USA, Kohala, Lapakahi, Big Island, Hawaii"
SRR12425476,-46.6065067636044,-19.5495009972312,30.9985895555796,China,"China, Wuzhishan, Hainan Province"
SRR12425477,-55.8008638835351,-24.2561315676401,30.7549041483687,China,"China, Pingle, Guilin, Guangxi Province"
SRR12425478,-56.1956925129338,-22.5876035935284,30.303548536902,China,"China, Lipu, Guilin, Guangxi Province"
SRR12425481,-55.7621660064917,-18.0861340163387,21.9891671181426,China,"China, Yangshan, Qingyuan, Guangdong Province"
SRR12425482,-49.7054524312916,-14.5818509614769,18.2598747044592,China,"China, Nanlang, Zhongshan, Guangdong Province"
SRR12425483,28.5414293599728,29.0251746406325,8.8999914623525,Taiwan,"Taiwan, Pitou Township, Changhua County"
SRR12425492,-42.9865043118772,-0.083096447695985,-7.14834180513509,China,"China, Yanping District, Longyan, Fujian Province"
SRR12425494,31.8939977488424,30.3385118956906,9.98337833455159,Taiwan,"Taiwan, Yujing District, Tainan City"
SRR12425501,36.7969242231711,10.9612230568392,12.8096727878966,Taiwan,"Taiwan, Hualien County, Hualien County"
SRR12425504,47.3930638114668,-48.0741337793697,-21.019599661658,Chile,"Chile, RanoKau, Easter Island"
SRR12425506,46.7252114318867,-47.6916691905563,-20.9030721768259,Chile,"Chile, HangaOteo, Easter Island"
SRR12425507,47.5553505519806,-47.998576447278,-21.2186655241658,French Polynesia,"French Polynesia, Ahurei, Rapa Iti"
SRR12425508,48.0591482048003,-49.1822597154357,-21.4642306734998,Wallis and Futuna,"Wallis and Futuna, Wallis"
SRR12425509,48.4072860486837,-49.0741532781822,-21.527684440609,French Polynesia,"French Polynesia, Tahiti"
SRR12425510,45.2320783793361,-46.0326357204154,-20.253796106814,Fiji,"Fiji, Taveuni Island"
SRR12425511,48.7273779595293,-49.3817501491296,-21.5240132488512,Fiji,"Fiji, Taveuni Island"
SRR12425512,45.3411602662813,-46.2364694053419,-20.2721079214326,Fiji,"Fiji, VanuaLevu"
SRR12425513,48.6771119244698,-49.7979426991924,-21.8092149854228,Fiji,"Fiji, Suva, Vitilevu"
SRR12425514,46.4413606156343,-47.3559176346016,-20.7011006651283,Tonga,"Tonga, Mangia, Vava'u"
SRR12425516,33.508479048056,28.258101131609,7.72487383919029,Taiwan,"Taiwan, Pingtung City, Pingtung County"
SRR12425520,-54.0611984547549,-25.7043168426406,35.3197666396549,Viet Nam,"Viet Nam, Chuong My, Ha Noi"
SRR12425521,-57.1498186741505,-27.100026167879,38.6996971275567,USA,"USA, Waimea, Big Island, Hawaii"
SRR12425522,-45.7212491437358,-26.1660003943968,30.5443654541581,USA,"USA, Waimea Valley, Oahu, Hawaii"
SRR12425523,47.5956312108433,-48.4787037776621,-21.3144714098949,USA,"USA, Bishop Museum, Oahu, Hawaii"
SRR12425524,-34.3073495096666,11.2668860476827,-26.6643836789983,China,"China, Xuanwu, Nanjing, Jiangsu Province"
SRR12425525,-50.3880269008414,-24.6997954669243,31.6660205859947,China,"China, Longzhou, Chongzuo, Guangxi Province"
SRR12425526,-50.0629652820552,-24.53782383901,32.1555260697504,China,"China, Longzhou, Chongzuo, Guangxi Province"
SRR12425527,29.7908603619691,30.302399061845,8.97220231921799,Taiwan,"Taiwan, Qingshui District, Taichung City"
